관측소명:해운대해수욕장
위도:35.148972
경도:129.170166
관측시간	유속(cm/s)	유향(16points)	유향(deg)	수온(℃)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)		풍향(deg)	기온(℃)	기압(hPa)	시정(m)	파향(deg)	
2024/04/01 00:00:00	15.0	동남동	112	13.80	0.30	4.3	0.44	4.5	1.5	북	2	12.1	1010.4	-	153	
2024/04/01 00:01:00	14.6	동남동	108	13.80	0.31	4.6	0.44	4.5	1.6	북	353	12.1	1010.4	-	180	
2024/04/01 00:02:00	14.6	동남동	112	13.80	0.31	4.6	0.44	4.5	1.7	북	358	12.2	1010.4	-	176	
2024/04/01 00:03:00	13.6	동남동	109	13.80	0.32	4.8	0.44	4.5	1.4	북북서	348	12.2	1010.4	-	149	
2024/04/01 00:04:00	13.8	동	99	13.81	0.32	4.6	0.44	4.5	1.5	북	350	12.2	1010.5	-	184	
2024/04/01 00:05:00	13.4	동남동	111	13.81	0.31	4.8	0.40	5.5	1.6	북	355	12.2	1010.5	-	132	
2024/04/01 00:06:00	12.2	동남동	107	13.81	0.29	4.3	0.38	6.0	1.5	북북서	347	12.2	1010.5	-	116	
2024/04/01 00:07:00	12.5	동남동	103	13.82	0.30	4.8	0.41	4.5	1.4	북북서	336	12.1	1010.5	-	95	
2024/04/01 00:08:00	12.8	동	98	13.82	0.30	4.7	0.41	4.5	1.6	북	2	12.2	1010.5	-	112	
2024/04/01 00:09:00	14.9	동남동	105	13.82	0.30	4.6	0.41	4.5	1.5	북	359	12.1	1010.5	-	152	
2024/04/01 00:10:00	14.1	동	93	13.82	0.33	4.7	0.41	4.5	1.8	북북서	339	12.2	1010.5	-	156	
2024/04/01 00:11:00	13.3	동남동	112	13.82	0.32	4.3	0.40	4.0	1.4	북북서	347	12.1	1010.5	-	124	
2024/04/01 00:12:00	12.3	동남동	110	13.81	0.34	4.1	0.40	4.0	1.4	북북서	330	12.1	1010.5	-	104	
2024/04/01 00:13:00	15.9	동남동	107	13.80	0.36	4.5	0.53	4.5	1.8	북북서	338	12.2	1010.6	-	128	
2024/04/01 00:14:00	13.8	동남동	110	13.77	0.37	4.6	0.53	4.5	1.9	북	352	12.2	1010.6	-	163	
2024/04/01 00:15:00	14.0	동남동	105	13.74	0.37	4.8	0.53	4.5	1.7	북북서	338	12.1	1010.7	-	116	
2024/04/01 00:16:00	16.3	동남동	105	13.74	0.39	4.8	0.53	4.5	1.7	북북서	332	12.1	1010.8	-	177	
2024/04/01 00:17:00	16.2	동남동	108	13.76	0.38	4.9	0.53	4.5	2.2	북북서	327	12.1	1010.8	-	155	
2024/04/01 00:18:00	16.7	동남동	112	13.77	0.34	4.5	0.48	5.0	2.8	북서	322	12.1	1010.8	-	111	
2024/04/01 00:19:00	17.3	동남동	110	13.77	0.34	4.7	0.47	4.5	2.7	북서	325	12.1	1010.9	-	134	
2024/04/01 00:20:00	15.5	동남동	108	13.78	0.32	5.0	0.47	4.5	2.4	북북서	327	12.0	1010.9	-	199	
2024/04/01 00:21:00	15.0	동남동	111	13.78	0.32	5.0	0.46	4.5	2.2	북북서	329	12.1	1010.9	-	113	
2024/04/01 00:22:00	14.1	동남동	107	13.78	0.33	5.1	0.49	4.5	2.1	북북서	327	12.0	1010.8	-	173	
2024/04/01 00:23:00	14.0	동남동	116	13.78	0.33	4.9	0.49	4.5	2.1	북북서	332	11.9	1010.8	-	96	
2024/04/01 00:24:00	14.5	동남동	114	13.78	0.35	4.7	0.60	3.5	2.0	북북서	337	12.0	1010.8	-	170	
2024/04/01 00:25:00	14.8	동남동	108	13.79	0.35	4.9	0.60	3.5	1.8	북북서	333	11.9	1010.8	-	91	
2024/04/01 00:26:00	15.1	동남동	107	13.79	0.34	4.9	0.60	3.5	1.9	북북서	340	11.9	1010.8	-	203	
2024/04/01 00:27:00	13.1	동남동	106	13.79	0.32	4.5	0.60	3.5	2.0	북북서	330	11.9	1010.9	-	209	
2024/04/01 00:28:00	12.3	동남동	106	13.78	0.32	4.6	0.60	3.5	1.8	북서	322	11.9	1010.9	-	190	
2024/04/01 00:29:00	14.8	동남동	105	13.78	0.31	4.1	0.51	4.0	1.7	북북서	337	11.8	1010.9	-	165	
2024/04/01 00:30:00	12.5	동남동	107	13.78	0.30	4.3	0.51	4.0	1.3	북북서	336	11.8	1010.9	-	354	
2024/04/01 00:31:00	14.5	동남동	112	13.77	0.31	4.4	0.51	4.0	1.4	북북서	340	11.9	1010.9	-	127	
2024/04/01 00:32:00	14.7	동남동	118	13.75	0.29	4.1	0.51	4.0	1.1	북북서	342	12.0	1010.9	-	20	
2024/04/01 00:33:00	13.7	동남동	118	13.74	0.29	4.3	0.38	3.5	1.2	북북서	336	12.0	1010.9	-	193	
2024/04/01 00:34:00	14.4	동남동	123	13.73	0.30	4.1	0.40	5.0	1.1	북북서	341	11.9	1010.9	-	216	
2024/04/01 00:35:00	14.5	동남동	122	13.72	0.34	4.4	0.48	4.0	0.9	북	2	11.9	1010.9	-	196	
2024/04/01 00:36:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 00:37:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 00:38:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 00:39:00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2024/04/01 00:40:00	16.1	남동	128	13.72	0.31	4.5	0.44	3.0	1.1	북서	321	11.9	1010.9	-	162	
2024/04/01 00:41:00	15.9	동남동	119	13.72	0.30	4.5	0.44	3.0	1.1	북서	317	11.9	1011.0	-	249	
2024/04/01 00:42:00	15.8	동남동	123	13.71	0.29	4.5	0.44	3.0	0.9	북북서	328	12.0	1011.0	-	162	
2024/04/01 00:43:00	18.9	남동	124	13.71	0.28	4.6	0.45	3.5	1.2	북서	318	12.0	1011.0	-	125	
