날짜,북극 해빙면적 평균(10^6km),남극 해빙면적 평균(10^6km)
﻿1981년 08월,7.84,17.74
﻿1982년 08월,8.14,17.79
﻿1983년 08월,8.19,17.25
﻿1984년 08월,7.77,17.93
﻿1985년 08월,7.4,17.63
﻿1986년 08월,7.98,17.0
﻿1987년 08월,7.63,17.6
﻿1988년 08월,7.89,17.56
﻿1989년 08월,7.88,17.47
﻿1990년 08월,6.8,17.57
﻿1991년 08월,7.42,17.72
﻿1992년 08월,7.93,17.73
﻿1993년 08월,7.33,17.49
﻿1994년 08월,7.64,17.84
﻿1995년 08월,6.74,17.78
﻿1996년 08월,8.18,17.74
﻿1997년 08월,7.29,17.68
﻿1998년 08월,7.51,17.88
﻿1999년 08월,7.23,17.96
﻿2000년 08월,7.17,18.21
﻿2001년 08월,7.46,17.42
﻿2002년 08월,6.6,17.07
﻿2003년 08월,6.94,17.58
﻿2004년 08월,6.85,18.01
﻿2005년 08월,6.3,17.92
﻿2006년 08월,6.5,18.1
﻿2007년 08월,5.34,17.68
﻿2008년 08월,5.91,17.64
﻿2009년 08월,6.14,18.1
﻿2010년 08월,5.87,18.61
﻿2011년 08월,5.5,17.81
﻿2012년 08월,4.72,18.1
﻿2013년 08월,6.01,18.66
﻿2014년 08월,6.08,18.91
﻿2015년 08월,5.6,17.75
﻿2016년 08월,5.37,17.89
﻿2017년 08월,5.48,17.22
﻿2018년 08월,5.61,17.42
﻿2019년 08월,5.03,17.48
﻿2020년 08월,5.07,17.76
﻿2021년 08월,5.71,18.19
﻿2022년 08월,5.99,16.97
﻿2023년 08월,5.57,15.5
